#TimeStamp(in microSec);Age;Anger;Contempt;Disgust;Engagement;Fear;Joy;Sadness;Surprise;Valence;Attention;Browfurrow;BrowRaise;Cheekraise;Chinraise;Dimpler;Eyeclosure;Eyewiden;InnerBrowraise;Jawdrop;Lidtighten;Lipcornerdepressor;Lippress;Lippucker;Lipstretch;Lipsuck;Mouthopen;Nosewrinkle;Smile;Smirk;Upperlipraise;Pitch;Roll;Yaw;Id
6580;0; 0.000003; 0.000156; 0.000668; 99.892250;0.000059;99.389633;0.000034;0.194552;99.379471;98.532433;0.001955;0.178924;41.663994;0.018622;0.458058;0.000000;0.000304;0.005666;0.027633;0.003879;0.001157;0.005860;0.047684;87.663300;1.871260;0.008895;0.027939;97.824486;2.003634;0.000001;-4.047306;0.201550;-0.966096;0
6642;0; 0.000003; 0.000158; 0.000675; 99.890770;0.000054;99.380402;0.000034;0.194385;99.410866;98.322983;0.002139;0.161643;32.680874;0.018381;0.277701;0.000000;0.000232;0.006185;0.027708;0.003671;0.001232;0.004911;0.043964;83.410767;1.770135;0.009028;0.029519;97.728775;2.092301;0.000001;-3.709030;-1.029308;-1.643806;0
6705;0; 0.000003; 0.000163; 0.000672; 99.887833;0.000054;99.361053;0.000035;0.194536;99.307770;98.492836;0.002121;0.175087;37.981255;0.018216;0.272665;0.000000;0.000190;0.005976;0.033283;0.004192;0.001332;0.006502;0.050178;83.160629;2.091842;0.009062;0.030284;97.542488;2.253122;0.000001;-3.565459;-0.494019;-1.101245;0
6767;0; 0.000003; 0.000148; 0.000652; 99.896515;0.000046;99.417061;0.000033;0.194569;99.362358;98.610672;0.002359;0.176483;36.407864;0.020375;0.219740;0.000000;0.000113;0.005594;0.038564;0.004663;0.001726;0.007390;0.043274;78.003189;1.914983;0.009685;0.031037;98.106888;1.715483;0.000001;-2.774250;-0.278085;-0.688171;0
6829;0; 0.000003; 0.000140; 0.000639; 99.900970;0.000045;99.446045;0.000033;0.194378;99.391563;98.526566;0.002715;0.153570;32.904930;0.025507;0.234920;0.000000;0.000076;0.005921;0.046731;0.004591;0.001933;0.014171;0.041018;78.404785;1.803885;0.010135;0.034701;98.415718;1.439258;0.000001;-3.367024;0.637608;-0.986330;0
6909;0; 0.000003; 0.000148; 0.000654; 99.896088;0.000039;99.415108;0.000034;0.194260;99.418839;98.446449;0.002439;0.135788;30.006054;0.033609;0.213022;0.000000;0.000056;0.005511;0.058813;0.004743;0.002439;0.019914;0.048629;71.745850;1.699956;0.011526;0.036960;98.077972;1.693806;0.000001;-4.042936;-0.177578;-1.255155;0
6971;0; 0.000003; 0.000151; 0.000661; 99.893814;0.000040;99.400368;0.000034;0.194413;99.431862;98.577217;0.002398;0.146568;29.233265;0.043662;0.238792;0.000000;0.000043;0.005382;0.069877;0.005206;0.002763;0.023149;0.054717;71.902252;1.640003;0.012535;0.040002;97.926941;1.803308;0.000001;-3.210182;-0.542455;-0.808843;0
7034;0; 0.000003; 0.000152; 0.000657; 99.892944;0.000032;99.395294;0.000034;0.194155;99.354736;98.503349;0.002894;0.117453;22.573566;0.062463;0.221340;0.000000;0.000037;0.004760;0.076764;0.005485;0.003037;0.022012;0.055624;63.357456;1.859686;0.013823;0.042915;97.869339;1.807880;0.000001;-2.801504;0.310276;-1.065720;0
7095;0; 0.000003; 0.000158; 0.000668; 99.889565;0.000032;99.373535;0.000035;0.194235;99.372757;98.579910;0.002961;0.118386;21.932135;0.104958;0.257932;0.000000;0.000031;0.005376;0.093419;0.005926;0.003271;0.020147;0.053386;63.011604;1.759844;0.014755;0.043676;97.652145;2.010428;0.000001;-4.236791;-0.126356;-0.799256;0
7159;0; 0.000003; 0.000157; 0.000661; 99.889526;0.000027;99.373207;0.000035;0.194283;99.294144;98.636246;0.003644;0.122177;20.940100;0.136414;0.336469;0.000000;0.000039;0.005288;0.098480;0.007561;0.003746;0.019697;0.060067;55.843800;1.974905;0.014714;0.043437;97.649948;1.982354;0.000001;-4.009302;-0.564119;-0.594031;0
7236;0; 0.000003; 0.000161; 0.000664; 99.887558;0.000027;99.360435;0.000035;0.194311;99.273773;98.592400;0.003666;0.121006;16.365444;0.144145;0.423277;0.000000;0.000029;0.006196;0.107772;0.007600;0.003947;0.021630;0.066599;55.193794;2.030728;0.014715;0.041763;97.525642;2.099071;0.000001;-3.371217;-0.502274;-0.754455;0
7314;0; 0.000004; 0.000165; 0.000635; 99.884964;0.000026;99.344078;0.000035;0.194122;98.916718;98.696098;0.003956;0.098311;11.276706;0.190661;0.447968;0.000000;0.000037;0.006736;0.114514;0.006921;0.004337;0.024184;0.059475;53.443981;3.112014;0.016051;0.036638;97.365814;2.244567;0.000001;-4.402050;-0.101088;-0.366548;0
7376;0; 0.000003; 0.000159; 0.000632; 99.888092;0.000025;99.364365;0.000034;0.194161;98.982422;98.648804;0.004849;0.097536;13.557875;0.163522;0.356309;0.000000;0.000045;0.006277;0.127675;0.008019;0.005238;0.021863;0.066187;51.796402;2.930208;0.017527;0.037817;97.559029;2.035195;0.000001;-5.354781;-0.265762;-0.547139;0
7439;0; 0.000003; 0.000153; 0.000608; 99.891747;0.000020;99.388123;0.000033;0.194158;98.840538;98.555206;0.005078;0.089179;11.863706;0.152243;0.252299;0.000000;0.000049;0.006146;0.146894;0.008509;0.005484;0.021423;0.061576;44.972416;3.386916;0.019072;0.038312;97.791519;1.817067;0.000001;-3.995080;-0.771440;-0.886753;0
7502;0; 0.000003; 0.000147; 0.000594; 99.895790;0.000019;99.414131;0.000033;0.194186;98.805351;98.476402;0.005099;0.086342;13.374546;0.131363;0.159716;0.000000;0.000056;0.005991;0.159767;0.008365;0.005299;0.010877;0.063835;41.961452;3.524272;0.020244;0.041512;98.057884;1.606146;0.000001;-3.894275;-0.874518;-1.156289;0
7564;0; 0.000003; 0.000135; 0.000573; 99.903084;0.000016;99.460678;0.000032;0.194217;98.772072;98.777046;0.004360;0.089437;12.644569;0.125763;0.136035;0.000000;0.000051;0.006552;0.157647;0.008937;0.005640;0.008030;0.064671;36.674278;3.614000;0.020063;0.055201;98.566940;1.176654;0.000001;-5.454931;0.324906;-0.042019;0
7627;0; 0.000003; 0.000127; 0.000541; 99.907898;0.000014;99.491333;0.000031;0.194193;98.553841;98.547203;0.004869;0.077707;17.807970;0.133467;0.122612;0.000000;0.000044;0.005869;0.182297;0.010618;0.006085;0.007159;0.080871;34.026894;4.288042;0.020616;0.058189;98.924339;0.856169;0.000001;-4.298967;-0.668006;-0.914788;0
7704;0; 0.000003; 0.000128; 0.000559; 99.906937;0.000012;99.485260;0.000031;0.194305;98.723915;98.608841;0.004683;0.077325;17.824448;0.092857;0.089393;0.000000;0.000040;0.005393;0.210012;0.010801;0.007110;0.006035;0.077199;26.696301;3.772489;0.022246;0.070418;98.851021;0.902535;0.000001;-4.012472;-0.782133;-0.694855;0
7768;0; 0.000003; 0.000125; 0.000547; 99.909225;0.000011;99.499878;0.000030;0.194283;98.618088;98.767006;0.005588;0.060807;26.210875;0.108422;0.067282;0.000000;0.000050;0.004790;0.249180;0.012097;0.007963;0.008045;0.094915;24.482468;4.049009;0.022074;0.092383;99.025093;0.770587;0.000001;-3.624865;-1.282649;-0.083375;0
7831;0; 0.000003; 0.000126; 0.000550; 99.907959;0.000010;99.491760;0.000031;0.194444;98.603470;98.701523;0.006402;0.071790;27.895737;0.107032;0.061031;0.000000;0.000054;0.004718;0.267349;0.014220;0.008350;0.011974;0.113693;18.778702;4.091448;0.020658;0.092000;98.928856;0.831337;0.000001;-4.088057;-0.792883;-0.345452;0
