#TimeStamp(inmicroSec);Age;Anger;Contempt;Disgust;Engagement;Fear;Joy;Sadness;Surprise;Valence;Attention;Browfurrow;BrowRaise;Cheekraise;Chinraise;Dimpler;Eyeclosure;Eyewiden;InnerBrowraise;Jawdrop;Lidtighten;Lipcornerdepressor;Lippress;Lippucker;Lipstretch;Lipsuck;Mouthopen;Nosewrinkle;Smile;Smirk;Upperlipraise;Pitch;Roll;Yaw;Id
5305;0;0.001971;0.192688;0.426141;0.079893;0.004485;0.001824;0.023987;0.194629;0.000000;98.253700;0.001832;0.082503;0.013410;0.077366;0.012098;0.000000;0.000072;0.007934;0.288318;0.007438;0.013936;0.023751;0.006724;0.008621;0.008931;0.007114;0.001203;0.000000;0.000386;0.000001;-1.511187;-0.577226;-1.849722;0
5367;0;0.001968;0.192687;0.426286;0.079809;0.004490;0.001824;0.023986;0.194549;0.000000;98.474022;0.001638;0.089748;0.014441;0.055440;0.011396;0.000000;0.000078;0.008666;0.248574;0.007450;0.012334;0.018322;0.005166;0.009781;0.007141;0.006783;0.001154;0.000000;0.000390;0.000001;-0.731043;0.450086;-1.164232;0
5445;0;0.001967;0.192687;0.426443;0.079857;0.004490;0.001823;0.023982;0.194609;0.000000;98.430344;0.001686;0.098563;0.021378;0.054927;0.011123;0.000000;0.000087;0.008584;0.242253;0.008250;0.011420;0.015207;0.004991;0.012137;0.005872;0.006887;0.001170;0.000000;0.000383;0.000001;-0.816926;-0.449491;-1.307528;0
5524;0;0.001967;0.192687;0.426562;0.079822;0.004495;0.001823;0.023982;0.194456;0.000000;98.379196;0.001590;0.095303;0.021457;0.052114;0.009685;0.000000;0.000087;0.008669;0.211054;0.007562;0.010999;0.020751;0.004541;0.012735;0.005042;0.006470;0.001287;0.000000;0.000368;0.000001;0.513872;-0.259600;-1.470455;0
5586;0;0.001967;0.192687;0.426788;0.079788;0.004495;0.001823;0.023979;0.194485;0.000000;98.500893;0.001714;0.096736;0.024413;0.044740;0.009853;0.000000;0.000084;0.008940;0.214792;0.007826;0.011679;0.027454;0.004112;0.014247;0.004779;0.006573;0.001311;0.000000;0.000359;0.000001;-0.185367;-0.054260;-1.074031;0
5648;0;0.001965;0.192685;0.427062;0.079959;0.004499;0.001823;0.023972;0.194433;0.000000;98.241478;0.001450;0.105036;0.024546;0.035738;0.011301;0.000000;0.000084;0.008056;0.180943;0.006978;0.011250;0.029666;0.003388;0.017057;0.004181;0.006442;0.001227;0.000000;0.000327;0.000001;-0.125739;-0.305480;-1.885210;0
5711;0;0.001965;0.192684;0.427510;0.080323;0.004500;0.001823;0.023969;0.194415;0.000000;98.118904;0.001031;0.105880;0.026012;0.032741;0.010258;0.000000;0.000084;0.007838;0.173096;0.006324;0.010726;0.032253;0.003105;0.019682;0.004099;0.006489;0.001317;0.000000;0.000326;0.000001;0.143216;-0.312473;-2.228360;0
5773;0;0.001966;0.192684;0.427661;0.080456;0.004501;0.001823;0.023973;0.194343;0.000000;98.448570;0.000978;0.099031;0.023331;0.032694;0.011653;0.000000;0.000080;0.007206;0.172309;0.005927;0.010277;0.027341;0.003492;0.020799;0.004909;0.006485;0.001477;0.000000;0.000323;0.000001;-0.384670;-0.405432;-1.248203;0
5836;0;0.001968;0.192685;0.428022;0.080774;0.004503;0.001824;0.023980;0.194196;0.000000;98.458336;0.001357;0.083970;0.020429;0.039145;0.018655;0.000000;0.000056;0.006355;0.174321;0.006131;0.009787;0.030052;0.003200;0.021007;0.006083;0.006304;0.001520;0.000000;0.000322;0.000001;-1.134166;-0.349725;-1.216144;0
5915;0;0.001968;0.192685;0.428179;0.080919;0.004503;0.001824;0.023980;0.194182;0.000000;98.479050;0.001445;0.083956;0.027119;0.041373;0.019662;0.000000;0.000045;0.005820;0.171364;0.006684;0.008813;0.025504;0.003484;0.018317;0.007733;0.006446;0.001925;0.000000;0.000314;0.000001;-0.749967;-0.801444;-1.147457;0
